admin,adm0_a3,treaty_position,lon,lat
Aruba,ABW,0,-69.9826771125,12.5208803838
Afghanistan,AFG,0,66.0047336558,33.8352307278
Angola,AGO,0,17.5373676815,-12.2933605438
Albania,ALB,0,20.0498339611,41.1424498947
Aland,ALD,0,19.953287676,60.2148868756
Andorra,AND,0,1.56054377918,42.5422910219
United Arab Emirates,ARE,0,54.3001671016,23.9052818785
Argentina,ARG,0,-65.179806925,-35.3813487953
Armenia,ARM,0,44.9299327564,40.2895256919
Antigua and Barbuda,ATG,0,-61.794693427,17.2774995986
Australia,AUS,0,134.491000082,-25.7328870417
Austria,AUT,0,14.1264760996,47.585494392
Azerbaijan,AZE,0,47.5459987892,40.2882723471
Burundi,BDI,0,29.8751215645,-3.35939665747
Belgium,BEL,0,4.64065113918,50.6398157556
Benin,BEN,0,2.32785254449,9.64175970225
Burkina Faso,BFA,0,-1.75456600914,12.2695384574
Bangladesh,BGD,0,90.2381274323,23.86731158
Bulgaria,BGR,0,25.2155290863,42.7689031797
Bahrain,BHR,0,50.5419693232,26.0420513477
Canada,CAN,0,-98.3077702819,61.3620632437
The Bahamas,BHS,0,-76.6284303802,24.2903670223
Bosnia and Herzegovina,BIH,0,17.7687673323,44.1745012472
Belarus,BLR,0,28.0320930703,53.5313137685
Belize,BLZ,0,-88.7101048564,17.2002750902
Bolivia,BOL,0,-64.6853864515,-16.7081478725
Brazil,BRA,0,-53.0978311267,-10.7877770246
Barbados,BRB,0,-59.5597970021,13.1814542822
Brunei,BRN,0,114.722030354,4.51968957503
Bhutan,BTN,0,90.4018815525,27.4110658858
Botswana,BWA,0,23.7985336773,-22.1840321328
Central African Republic,CAF,0,20.4682683098,6.56823297048
Switzerland,CHE,0,8.20867470615,46.7978587836
Chile,CHL,0,-71.3825621318,-37.730709893
China,CHN,0,107.18207727813447,34.26845927078761
Ivory Coast,CIV,0,-5.5692156998,7.62842620235
Cameroon,CMR,0,12.7396415575,5.69109848986
Democratic Republic of the Congo,COD,0,23.643961066,-2.8774628897
Republic of Congo,COG,0,15.2196576195,-0.837874631184
Colombia,COL,0,-73.0811458241,3.91383430725
Comoros,COM,0,43.6825396848,-11.8778344355
Cape Verde,CPV,0,-23.9598882026,15.9552332421
Costa Rica,CRI,0,-84.1920876775,9.9763446384
Cuba,CUB,0,-79.0160538445,21.6228952793
Cura̤ao,CUW,0,-68.971193688,12.1955167546
Northern Cyprus,CYN,0,33.5684812974,35.2627748562
Cyprus,CYP,0,33.0060021957,34.916672112
Czech Republic,CZE,0,15.3124016281,49.7334123295
Germany,DEU,0,10.385780508,51.1069818075
Djibouti,DJI,0,42.5606754026,11.7487180559
Dominica,DMA,0,-61.3577259987,15.4394702029
Denmark,DNK,0,10.0280099191,55.9812529593
Dominican Republic,DOM,0,-70.5056889612,18.8943308233
Algeria,DZA,0,2.6173230092,28.1589384945
Ecuador,ECU,0,-78.752019225,-1.42381612488
Egypt,EGY,0,29.8619009908,26.4959331064
Eritrea,ERI,0,38.8461701125,15.361866184
Spain,ESP,0,-3.64755047323,40.2444869811
Estonia,EST,0,25.5424853656,58.6719297173
Ethiopia,ETH,0,39.6008009763,8.6227867931
Finland,FIN,0,26.2746656042,64.4988460349
Fiji,FJI,0,165.451954318,-17.4285803175
France,FRA,0,1.96029159737311,47.06876250054151
Federated States of Micronesia,FSM,0,153.239437922,7.45246813659
Gabon,GAB,0,11.7886286968,-0.586600249551
United Kingdom,GBR,0,-2.86563164084,54.1238715577
Georgia,GEO,0,43.50780252,42.1685575537
Guernsey,GGY,0,-2.57239063555,49.4680976128
Ghana,GHA,0,-1.21676565807,7.95345643541
Guinea,GIN,0,-10.9406661161,10.4362159331
Gambia,GMB,0,-15.3960129463,13.4496524352
Guinea Bissau,GNB,0,-14.9497244459,12.0474494815
Equatorial Guinea,GNQ,0,10.3413792389,1.70555135464
Greece,GRC,0,22.9555579369,39.0746962307
Grenada,GRD,0,-61.6822018889,12.1172504395
Greenland,GRL,0,-41.34191127,74.7105128864
Guatemala,GTM,0,-90.3648200858,15.694036635
Guyana,GUY,0,-58.9820245893,4.79378034012
Hong Kong S.A.R.,HKG,0,114.113804542,22.3982773723
Honduras,HND,0,-86.6151660963,14.8268816519
Croatia,HRV,0,16.404128994,45.0804763057
Haiti,HTI,0,-72.6852750899,18.9350256343
Hungary,HUN,0,19.3955911607,47.1627750614
Indonesia,IDN,0,117.240113662,-2.21505456346
Isle of Man,IMN,0,-4.53873952326,54.2241891077
India,IND,0,79.6119761026,22.8857821183
Ireland,IRL,0,-8.13793568667,53.175448704
Iran,IRN,0,54.2740700448,32.575032915
Iraq,IRQ,0,43.7435314888,33.0397058232
Iceland,ISL,0,-18.5739616708,64.9957538607
Israel,ISR,0,35.00771787914747,31.756911569431235
Italy,ITA,0,12.0700133907,42.796626414
Jamaica,JAM,0,-77.3148259327,18.1569487765
Jersey,JEY,0,-2.12689937944,49.2183737668
Jordan,JOR,0,36.7713610402,31.2457909121
Japan,JPN,0,138.030895577,37.592301353
Kazakhstan,KAZ,0,67.2914935687,48.1568806661
Kenya,KEN,0,37.7959397293,0.599880215445
Kyrgyzstan,KGZ,0,74.5416551329,41.4622194346
Cambodia,KHM,0,104.906943249,12.7200478567
Kiribati,KIR,0,173.0253190772525,1.303027596588759
Saint Kitts and Nevis,KNA,0,-62.6875526496,17.2645995047
South Korea,KOR,0,127.839160864,36.3852398347
Kosovo,KOS,0,20.8724981138,42.5707870668
Kuwait,KWT,0,47.5870045889,29.3343126157
Laos,LAO,0,103.73772412,18.5021743316
Lebanon,LBN,0,35.880160715,33.9230663057
Liberia,LBR,0,-9.3220757269,6.45278491657
Libya,LBY,0,18.0086616872,27.0309449491
Saint Lucia,LCA,0,-60.9696992253,13.8947948145
Liechtenstein,LIE,0,9.53574311779,47.1366583545
Sri Lanka,LKA,0,80.7010823782,7.61266509224
Lesotho,LSO,0,28.2272313098,-29.5800318833
Lithuania,LTU,0,23.8871935548,55.3261098445
Luxembourg,LUX,0,6.07182201066,49.7672536068
Latvia,LVA,0,24.9123598332,56.8508516268
Macao S.A.R,MAC,0,113.509321162,22.2231168835
Morocco,MAR,0,-8.45615794798,29.8376295469
Monaco,MCO,0,7.40627676856,43.7527462672
Moldova,MDA,0,28.4567337241,47.1949880442
Madagascar,MDG,0,46.7047367428,-19.3718958677
Maldives,MDV,0,73.4571300419,3.72870919988
Mexico,MEX,0,-102.523451692,23.9475372406
Marshall Islands,MHL,0,170.339761224,7.00376358315
Macedonia,MKD,0,21.6821134607,41.5953089336
Mali,MLI,0,-3.54269064851,17.3458158135
Malta,MLT,0,14.4052331643,35.9214963221
Myanmar,MMR,0,96.4884332104,21.1856659927
Montenegro,MNE,0,19.2388393925,42.7889025929
Mongolia,MNG,0,103.052997649,46.8268154394
Mozambique,MOZ,0,35.5336754259,-17.2738164259
Mauritania,MRT,0,-10.3477981455,20.257367056
Mauritius,MUS,0,57.5712055061,-20.2776870433
Malawi,MWI,0,34.2893559871,-13.2180808806
Malaysia,MYS,0,109.697622843,3.78986845571
Namibia,NAM,0,17.209635667,-22.1303256842
Niger,NER,0,9.38545881539,17.4191249296
Nigeria,NGA,0,8.08943894771,9.59411452233
Nicaragua,NIC,0,-85.0305296951,12.8470942896
Netherlands,NLD,0,5.28144793007,52.1007899002
Norway,NOR,0,15.3483465622,68.7501557205
Nepal,NPL,0,83.9158264002,28.2489136496
Nauru,NRU,0,166.932568234,-0.519126389522
New Zealand,NZL,0,173.30595372263687,-41.49061059848512
Oman,OMN,0,56.0916615483,20.6051533257
Pakistan,PAK,0,69.3395793748,29.9497515031
Panama,PAN,0,-80.1191515612,8.51750797491
Peru,PER,0,-75.17825476757902,-10.958323659714296
Philippines,PHL,0,122.883932529,11.7753677809
Palau,PLW,0,134.408079655,7.28742783603
Papua New Guinea,PNG,0,145.207447524,-6.46416646083
Poland,POL,0,19.3901283493,52.1275956442
North Korea,PRK,0,127.192479732,40.1535031093
Portugal,PRT,0,-8.50104361268,39.5955067145
Paraguay,PRY,0,-58.400137032,-23.228239132
Qatar,QAT,0,51.1847963212,25.3060118763
Romania,ROU,0,24.9729303933,45.8524312742
Russia,RUS,0,96.6865611231,61.9805220919
Rwanda,RWA,0,29.9198851524,-1.99033831693
Saudi Arabia,SAU,0,44.5368627114,24.1224584073
Sudan,SDN,0,29.9404681199,15.9903566856
South Sudan,SDS,0,30.2479000186,7.30877944922
Senegal,SEN,0,-14.4734923973,14.3662417313
Singapore,SGP,0,103.81725592,1.35876087075
Solomon Islands,SLB,0,159.632876678,-8.92178021692
Sierra Leone,SLE,0,-11.7927124668,8.56329593038
El Salvador,SLV,0,-88.8716446906,13.7394374383
San Marino,SMR,0,12.4592233358,43.9418674677
Somalia,SOM,0,45.7071448699,4.75062876055
Republic of Serbia,SRB,0,20.7895833363,44.2215031993
Sao Tome and Principe,STP,0,6.72429657927,0.443914449308
Suriname,SUR,0,-55.9123456951,4.1305541299
Slovakia,SVK,0,19.4790521811,48.7054752813
Slovenia,SVN,0,14.8044423776,46.1155477207
Sweden,SWE,0,16.7455804869,62.7796651931
Swaziland,SWZ,0,31.4819369011,-26.5584304502
Sint Maarten,SXM,0,-63.057133627,18.0508172793
Seychelles,SYC,0,55.4760327912,-4.66099093522
Syria,SYR,0,38.5078820425,35.025473894
Chad,TCD,0,18.6449251291,15.333337585
Togo,TGO,0,0.962328449769,8.52531356141
Thailand,THA,0,101.002881304,15.1181579418
Tajikistan,TJK,0,71.0136263091,38.5304538963
Turkmenistan,TKM,0,59.3710002061,39.1155413742
East Timor,TLS,0,125.844389821,-8.82889162047
Tonga,TON,0,-174.80987341,-20.4284317425
Trinidad and Tobago,TTO,0,-61.2656792335,10.457334081
Tunisia,TUN,0,9.55288358933,34.1195624649
Turkey,TUR,0,35.1689534649,39.0616029013
Taiwan,TWN,0,120.954272814,23.753992795
United Republic of Tanzania,TZA,0,34.8130998093,-6.27565408332
Uganda,UGA,0,32.3690797137,1.27469298731
Ukraine,UKR,0,31.3832646865,48.9965667265
Uruguay,URY,0,-56.0180705315,-32.7995153444
United States of America,USA,0,-98.99064451775092,39.23711155229586
Uzbekistan,UZB,0,63.1400152805,41.7555422527
Vatican,VAT,0,12.4338717661,41.9017498529
Saint Vincent and the Grenadines,VCT,0,-61.2012969497,13.22472269
Venezuela,VEN,0,-66.1818412311,7.12422421273
Vietnam,VNM,0,106.299146978,16.6460167019
Vanuatu,VUT,0,167.686446357,-16.2264090884
Samoa,WSM,0,-172.16485064,-13.7532434638
Yemen,YEM,0,47.5867618877,15.9092800505
